Date,Month,Description,Amount,Direction,Categoria,TxnType,Source,mes,year
2025-05-28,2025-05,Card transaction of 17.05 GBP issued by Uber   *Eats HELP.UBER.COM,-17.05,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-29,2025-05,Card transaction of 21.30 GBP issued by Tesco Stores 5130 EASTCHEAP,-21.3,DEBIT,Mercado,CARD,Wise,5,2025.0
2025-05-29,2025-05,Card transaction of 8.00 GBP issued by Sq *Dipped In Chocolate Kent,-8.0,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-05-31,2025-05,Sent money to HARLLA MARTINS D S L SIQUEIRA,-91.0,DEBIT,Transferência,TRANSFER,Wise,5,2025.0
2025-05-31,2025-05,Card transaction of 45.50 GBP issued by Serpentine Bar&kitchen LONDON,-45.5,DEBIT,Restaurante,CARD,Wise,5,2025.0
2025-06-05,2025-06,Card transaction of 24.95 GBP issued by Laundryheap 5884670 LONDON,-24.95,DEBIT,Limpeza,CARD,Wise,6,2025.0
2025-06-05,2025-06,"Card transaction of 9.90 GBP issued by Boots,Gracechurch St LONDON",-9.9,DEBIT,Farmácia,CARD,Wise,6,2025.0
2025-06-06,2025-06,Card transaction of 12.30 GBP issued by Bao LONDON  EC4N,-12.3,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-06,2025-06,Card transaction of 8.50 GBP issued by Porterford Butchers LONDON,-8.5,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-07,2025-06,To Oh Goodlord Ltd,-2800.0,DEBIT,Caucao,Transfer,Revolut,6,2025.0
2025-06-07,2025-06,To Oh Goodlord Ltd,-3000.0,DEBIT,Aluguel,Transfer,Revolut,6,2025.0
2025-06-07,2025-06,Sent money to Natalia Gomes do Nascimento,-300.0,DEBIT,Transferência,TRANSFER,Wise,6,2025.0
2025-06-07,2025-06,Card transaction of 19.90 GBP issued by Greshamstreet London,-19.9,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-07,2025-06,Card transaction of 4.65 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-4.65,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-08,2025-06,Card transaction of 221.16 GBP issued by Amazon* Rf7av5jo4 LONDON,-221.16,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-09,2025-06,Card transaction of 20.00 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-20.0,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-13,2025-06,Card transaction of 12.00 GBP issued by Www.voxi.co.uk VODAFONE LTD,-12.0,DEBIT,Celular,CARD,Wise,6,2025.0
2025-06-13,2025-06,Card transaction of 8.50 GBP issued by Porterford Butchers LONDON,-8.5,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-13,2025-06,Card transaction of 5.99 GBP issued by Netflix.com Los Gatos,-5.99,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-13,2025-06,Card transaction of 5.50 GBP issued by Pret A Manger LONDON,-5.5,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-13,2025-06,Card transaction of 2.90 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-2.9,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-14,2025-06,Card transaction of 17.35 GBP issued by Tesco Stores 5518 LONDON,-17.35,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-14,2025-06,Card transaction of 1.50 GBP issued by Tesco Stores 5518 LONDON,-1.5,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-15,2025-06,Card transaction of 1.50 GBP issued by Tesco Stores 5518 LONDON,-1.5,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-16,2025-06,Card transaction of 21.00 GBP issued by Pret A Manger LONDON,-21.0,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-16,2025-06,Card transaction of 2.90 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-2.9,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-17,2025-06,Card transaction of 8.50 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-8.5,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-17,2025-06,Card transaction of 2.55 GBP issued by Tesco Stores 5518 LONDON,-2.55,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-18,2025-06,Card transaction of 3.42 GBP issued by Pure Beak LONDON,-3.42,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-18,2025-06,Card transaction of 2.60 GBP issued by Pure Beak LONDON,-2.6,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-18,2025-06,Card transaction of 1.70 GBP issued by Tesco Stores 5518 LONDON,-1.7,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-19,2025-06,Card transaction of 13.55 GBP issued by Tesco Stores 5518 LONDON,-13.55,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-19,2025-06,"Card transaction of 9.90 GBP issued by Boots,Gracechurch St LONDON",-9.9,DEBIT,Farmácia,CARD,Wise,6,2025.0
2025-06-19,2025-06,Card transaction of 8.90 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-8.9,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-19,2025-06,Card transaction of 8.25 GBP issued by Gold Star Dry Cleaners London,-8.25,DEBIT,Limpeza,CARD,Wise,6,2025.0
2025-06-19,2025-06,Card transaction of 6.00 GBP issued by Sq *Dipped In Chocolate Kent,-6.0,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-19,2025-06,Card transaction of 2.75 GBP issued by Tesco Stores 5518 LONDON,-2.75,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-19,2025-06,"Card transaction of 1.40 GBP issued by Boots,Gracechurch St LONDON",-1.4,DEBIT,Farmácia,CARD,Wise,6,2025.0
2025-06-20,2025-06,Sent money to HARLLA MARTINS D S L SIQUEIRA,-87.0,DEBIT,Transferência,TRANSFER,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 52.99 GBP issued by Www.amazon.* 2631a22d5 LONDON,-52.99,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 33.44 GBP issued by Costcutter LONDON E1,-33.44,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 26.49 GBP issued by Uber   *Trip HELP.UBER.COM,-26.49,DEBIT,Uber,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 24.86 GBP issued by Ubr* Pending.uber.com London,-24.86,DEBIT,Uber,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 13.30 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-13.3,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 10.00 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-10.0,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-20,2025-06,Sent money to Karwood ltd,-6.4,DEBIT,Transferência,TRANSFER,Wise,6,2025.0
2025-06-20,2025-06,Chai,-5.95,DEBIT,Restaurante,Card Payment,Revolut,6,2025.0
2025-06-20,2025-06,Card transaction of 4.00 GBP issued by Tesco Stores 5518 LONDON,-4.0,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 2.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-2.8,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 2.63 GBP issued by Www.amazon.* 3r1ed70g5 LONDON,-2.63,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-20,2025-06,Card transaction of 1.20 GBP issued by Costcutter LONDON E1,-1.2,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 152.98 GBP issued by Amazon* Hs3gq3eg5 LONDON,-152.98,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 21.95 GBP issued by Amazon* 265ay5005 LONDON,-21.95,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 11.00 GBP issued by Sainsburys S/mkts LIMEHOUSE,-11.0,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 7.02 GBP issued by Costcutter LONDON E1,-7.02,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 6.99 GBP issued by Amazon* Y92g443r5 LONDON,-6.99,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 6.99 GBP issued by Amazon* 953du11k5 LONDON,-6.99,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-21,2025-06,Card transaction of 4.29 GBP issued by Costcutter LONDON E1,-4.29,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-22,2025-06,Card transaction of 10.00 GBP issued by Vesta  *Vodafone Topup VODAFONE.COUK,-10.0,DEBIT,Celular,CARD,Wise,6,2025.0
2025-06-22,2025-06,Card transaction of 7.96 GBP issued by Costcutter LONDON E1,-7.96,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-22,2025-06,Card transaction of 5.99 GBP issued by Lovers Mini Market LONDON,-5.99,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-22,2025-06,Card transaction of 4.98 GBP issued by Costcutter LONDON E1,-4.98,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-23,2025-06,Card transaction of 150.00 GBP issued by Www.iqgroup.org.uk 07500 551127,-150.0,DEBIT,Energia,CARD,Wise,6,2025.0
2025-06-23,2025-06,Card transaction of 10.00 GBP issued by Vesta  *Vodafone Topup VODAFONE.COUK,-10.0,DEBIT,Celular,CARD,Wise,6,2025.0
2025-06-23,2025-06,Card transaction of 8.90 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-8.9,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 13.75 GBP issued by Shake Shack - Mh London,-13.75,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 9.00 GBP issued by Lebara Mobile Limited London,-9.0,DEBIT,Celular,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 9.00 GBP issued by Lebara Mobile Limited London,-9.0,DEBIT,Celular,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 8.00 GBP issued by Pret A Manger LONDON,-8.0,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 7.00 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-7.0,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-24,2025-06,Card transaction of 2.25 GBP issued by Vape Station London,-2.25,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-25,2025-06,Card transaction of 5.50 GBP issued by Pret A Manger LONDON,-5.5,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-26,2025-06,Housekeep,-39.0,DEBIT,Limpeza,Card Payment,Revolut,6,2025.0
2025-06-26,2025-06,Card transaction of 17.90 GBP issued by Zettle_*Sushidog Limited Maidenhead,-17.9,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-26,2025-06,Lovers Mini Market,-12.78,DEBIT,Mercado,Card Payment,Revolut,6,2025.0
2025-06-26,2025-06,Card transaction of 8.95 GBP issued by Zettle_*Sushidog Limited Maidenhead,-8.95,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-26,2025-06,Card transaction of 6.40 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-6.4,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-26,2025-06,Card transaction of 4.98 GBP issued by Lovers Mini Market London,-4.98,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-26,2025-06,Card transaction of 2.50 GBP issued by Stepney Fruit And Veg LONDON,-2.5,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-26,2025-06,Card transaction of 1.00 GBP issued by Rupert Supermarket LONDON,-1.0,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 35.04 GBP issued by Vapiano Tower Bridge Bristol,-35.04,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 28.00 GBP issued by Barber's Lane London,-28.0,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 16.30 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-16.3,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 8.25 GBP issued by Gold Star Dry Cleaners London,-8.25,DEBIT,Limpeza,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 7.50 GBP issued by S W London Ice Cream London,-7.5,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-27,2025-06,Transport for London,-5.8,DEBIT,Transporte,Card Payment,Revolut,6,2025.0
2025-06-27,2025-06,Card transaction of 5.70 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.7,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 4.49 GBP issued by Amazon* Eh5gp4s15 LONDON,-4.49,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-27,2025-06,Card transaction of 2.90 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-2.9,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-28,2025-06,Card transaction of 56.25 GBP issued by Arthur Hoopers London,-56.25,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-28,2025-06,Card transaction of 20.20 GBP issued by Tesco Stores 4634 LONDON,-20.2,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-28,2025-06,Card transaction of 6.80 GBP issued by The Market Porter London,-6.8,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-28,2025-06,Card transaction of 6.50 GBP issued by Sumup  *Gelateria 3 Bi LONDON,-6.5,DEBIT,Restaurante,CARD,Wise,6,2025.0
2025-06-28,2025-06,Card transaction of 5.80 GBP issued by Tfl Travel Ch TFL.GOV.UK/CP,-5.8,DEBIT,Transporte,CARD,Wise,6,2025.0
2025-06-28,2025-06,Transport for London,-5.7,DEBIT,Transporte,Card Payment,Revolut,6,2025.0
2025-06-29,2025-06,Card transaction of 80.25 GBP issued by Asda Stores 4901 STEPNEY GREEN,-80.25,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 35.99 GBP issued by Puregym Limited Leeds,-35.99,DEBIT,Academia,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 23.99 GBP issued by Amazon* 4h2yo7w05 LONDON,-23.99,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 17.17 GBP issued by Costcutter LONDON E1,-17.17,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 8.00 GBP issued by Costcutter LONDON E1,-8.0,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 6.92 GBP issued by Uber* Trip WWW.UBER.COM,-6.92,DEBIT,Uber,CARD,Wise,6,2025.0
2025-06-29,2025-06,Card transaction of 6.90 GBP issued by Uber   *Trip HELP.UBER.COM,-6.9,DEBIT,Uber,CARD,Wise,6,2025.0
2025-06-29,2025-06,Transport for London,-5.8,DEBIT,Transporte,Card Payment,Revolut,6,2025.0
2025-06-30,2025-06,Sent money to Billing Better,-342.88,DEBIT,Transferência,TRANSFER,Wise,6,2025.0
2025-06-30,2025-06,Sent money to HARLLA MARTINS D S L SIQUEIRA,-89.0,DEBIT,Transferência,TRANSFER,Wise,6,2025.0
2025-06-30,2025-06,Card transaction of 8.92 GBP issued by Tesco Stores 5736 LIMEHOUSE,-8.92,DEBIT,Mercado,CARD,Wise,6,2025.0
2025-06-30,2025-06,Card transaction of 4.15 GBP issued by Www.amazon.* Dm29n7c45 LONDON,-4.15,DEBIT,Amazon,CARD,Wise,6,2025.0
2025-07-04,2025-07,Transport for London,-3.5,DEBIT,Transporte,Card Payment,Revolut,7,2025.0
2025-07-05,2025-07,Sent money to HARLLA MARTINS D S L SIQUEIRA,-91.0,DEBIT,Transferência,TRANSFER,Wise,7,2025.0
2025-07-05,2025-07,The Iskele,-55.01,DEBIT,Restaurante,Card Payment,Revolut,7,2025.0
2025-07-05,2025-07,Pret A Manger,-10.1,DEBIT,Restaurante,Card Payment,Revolut,7,2025.0
2025-07-05,2025-07,Transport for London,-8.9,DEBIT,Transporte,Card Payment,Revolut,7,2025.0
2025-07-05,2025-07,Treats,-3.6,DEBIT,Restaurante,Card Payment,Revolut,7,2025.0
2025-07-05,2025-07,Card transaction of 1.50 GBP issued by Tesco Stores 5130 EASTCHEAP,-1.5,DEBIT,Mercado,CARD,Wise,7,2025.0
2025-07-06,2025-07,Card transaction of 18.48 GBP issued by Amazon* Yb89g9wl5 LONDON,-18.48,DEBIT,Amazon,CARD,Wise,7,2025.0
2025-07-06,2025-07,Card transaction of 8.99 GBP issued by Amazon Prime*Xa9892h45 amzn.co.uk/pm,-8.99,DEBIT,TV,CARD,Wise,7,2025.0
2025-07-06,2025-07,Transport for London,-4.65,DEBIT,Transporte,Card Payment,Revolut,7,2025.0
2025-07-06,2025-07,Card transaction of 2.85 GBP issued by Pret A Manger LONDON,-2.85,DEBIT,Restaurante,CARD,Wise,7,2025.0
2025-07-06,2025-07,Card transaction of 1.25 GBP issued by Tesco Stores 5380 LONDON,-1.25,DEBIT,Mercado,CARD,Wise,7,2025.0
2025-07-07,2025-07,Walbrook,-155.87,DEBIT,Academia,Card Payment,Revolut,7,2025.0
2025-07-07,2025-07,Card transaction of 17.87 GBP issued by Tesco Stores 5736 LIMEHOUSE,-17.87,DEBIT,Mercado,CARD,Wise,7,2025.0
2025-07-07,2025-07,Card transaction of 8.99 GBP issued by Amazon Prime*Rc5e85tl4 amzn.co.uk/pm,-8.99,DEBIT,TV,CARD,Wise,7,2025.0
2025-07-07,2025-07,Transport for London,-4.65,DEBIT,Transporte,Card Payment,Revolut,7,2025.0
2025-07-08,2025-07,Card transaction of 8.99 GBP issued by Amazon Prime*Rf95k8364 amzn.co.uk/pm,-8.99,DEBIT,TV,CARD,Wise,7,2025.0
2025-07-08,2025-07,Transport for London,-6.4,DEBIT,Transporte,Card Payment,Revolut,7,2025.0
2025-07-08,2025-07,Card transaction of 5.50 GBP issued by Www.amazon.* Rf4sv83o4 LONDON,-5.5,DEBIT,Amazon,CARD,Wise,7,2025.0
2025-07-08,2025-07,Card transaction of 4.79 GBP issued by Www.amazon.* Rf4nb8pz4 LONDON,-4.79,DEBIT,Amazon,CARD,Wise,7,2025.0
